tokenId;minRarity;averageRarity;sumRarity;countsBelow10;countsBelow20;countsBelow50;spots;countsOld;countsMystic;countsNew;ranking
1004;6;79,63636364;876;1;1;2;11;0;1;1;486
3814;6;79,71428571;558;1;1;1;7;0;1;0;487
4078;6;79,72727273;877;1;2;2;11;1;1;0;488
9256;6;80,18181818;882;1;1;3;11;1;1;1;489
2589;6;80,44444444;724;1;1;2;9;1;1;0;490
7542;6;80,45454545;885;1;1;2;11;0;1;1;491
8476;6;80,5;322;1;1;1;4;0;1;0;492
4555;6;80,63636364;887;1;1;2;11;1;1;0;493
793;6;81;729;1;1;2;9;0;1;1;494
994;6;81,375;651;1;1;2;8;0;1;1;495
9472;6;82,25;329;1;1;1;4;0;1;0;496
